"#","Course Name","Group / Batch","Reflection Question 1","Reflection Question 2","Reflection Question 3","Notes","Done?","check for cnd (dont touch)"
"1","Research Methodology Course (RMC)","Completed Redesigns","Has this course changed the way you think about research or evidence in clinical practice? What stood out to you the most?","What research question or idea are you most interested in exploring further, and what inspired that interest?","Which part of the research process did you find most relevant to your own goals or setting?","","FALSE","FALSE"
"2","Essential Emergency & Critical Care (EECC)","Completed Redesigns","Think of a critically ill patient you've cared for. What aspect of their emergency management felt most challenging, and how does this course change how you'd approach it?","What is the biggest barrier to delivering good emergency and critical care in your setting? How have you or your team tried to work around it?","","Reflection Forum not created yet.","FALSE","FALSE"
"3","Certificate in Community Engagement & Involvement for Surgical Research","Completed Redesigns","What key concepts or definitions did you learn (for example, CEI, participation, engagement, involvement)? ","How did the module shape your understanding of involving patients, carers, and communities in surgical research?","","","FALSE","FALSE"
"4","Appendicitis","Completed Redesigns","Think of a patient you've seen with acute abdominal pain. What clinical signs helped guide your diagnosis, and was there anything that made it difficult?","How does your facility currently manage acute appendicitis, and are there gaps in care that you would like to see improved?","","Reflection Forum not created yet.","FALSE","FALSE"
"5","Laparoscopic Handling of the Small Bowel","Completed Redesigns","Have you had experience with laparoscopic bowel surgery? What did you find most technically challenging about handling the small bowel?","What resources or training would help you feel more confident with laparoscopic small bowel procedures in your setting?","","Reflection Forum not created yet.","FALSE","FALSE"
"6","Trocar Placement","Completed Redesigns","Reflect on your first experience with trocar placement. What did you find most difficult, and what would you do differently now?","How do you currently decide on trocar placement for different procedures, and how has this course influenced your thinking?","","Reflection Forum not created yet.","FALSE","FALSE"
"7","Ectopic Pregnancy","Completed Redesigns","Have you managed a patient with ectopic pregnancy? What was most challenging about their care, and what was the outcome?","What barriers in your setting might delay diagnosis and treatment of ectopic pregnancy, and what practical steps could address them?","","Reflection Forum not created yet.","FALSE","FALSE"
"8","Penetrating Thoracoabdominal Trauma","Completed Redesigns","Think of a patient you've seen with penetrating trauma to the chest or abdomen. What were your immediate priorities in their management?","What resources does your facility have for managing penetrating trauma, and what gaps affect patient outcomes in your setting?","","Reflection Forum not created yet.","FALSE","FALSE"
"9","Laparoscopic Cholecystectomy","Completed Redesigns","Reflect on a laparoscopic cholecystectomy you've performed or observed. What aspect of the procedure felt most technically demanding?","How do you ensure safe dissection in the hepatocystic triangle in your practice, and what do you do when the anatomy is unclear?","","Reflection Forum not created yet.","FALSE","FALSE"
"10","Introduction to Musculoskeletal Tumour Surgery","Completed Redesigns","Have you encountered a patient with a suspected musculoskeletal tumour in your practice? How did you approach their diagnosis and initial management?","What challenges do patients with musculoskeletal tumours face in accessing specialised care in your region, and how do you navigate these?","","Reflection Forum not created yet.","FALSE","FALSE"
"11","Navigating the Global Surgery Ecosystem","Completed Redesigns","","","","Multiple reflection forums.","FALSE","FALSE"
"12","Hemorrhage Control in the Prehospital Setting","Completed Redesigns","Have you ever had to manage life-threatening bleeding before reaching a health facility? What actions did you take, and what resources did you wish you had?","What training do first responders and healthcare workers in your setting receive for prehospital hemorrhage control, and what improvements would you recommend?","","Reflection Forum not created yet.","FALSE","FALSE"
"13","Trauma and Disaster Team Response","Completed Redesigns","What key concepts did you learn about trauma care, disaster response, and team roles?  ","How did the module shape your understanding of working within a multidisciplinary trauma team?","","","FALSE","FALSE"
"14","Intervention de Traumatologie et de Catastrophe en Equipe","Completed Redesigns","Quels concepts clés avez-vous appris concernant la prise en charge des traumatismes, l'intervention en cas de catastrophe et les rôles au sein d'une équipe ?  ","En quoi ce module a-t-il influencé votre compréhension du travail au sein d'une équipe multidisciplinaire de prise en charge des traumatismes ?","French version","","FALSE","FALSE"
"15","Complex Lower Extremity Trauma – Femoral Neck Fractures","Completed Redesigns","Think of a patient you've managed with a femoral neck fracture. What factors influenced your decision between fixation and arthroplasty?","What challenges does your facility face in managing femoral neck fractures — whether related to equipment, timing, or postoperative care?","","Reflection Forum not created yet.","FALSE","FALSE"
